"","average","sd","ratio","ava","avb","cumsum","p"
"Candidatus.Bipolaricaulota",4.69359089618156e-05,4.15367327145508e-05,1.12998557889397,0.000110270235382957,2.06081999625389e-05,0.996729383726402,0.0742
"Candidatus.Poribacteria",4.66783160249792e-05,4.04493073485693e-05,1.15399543489662,0.000134796301987254,6.19110968521831e-05,0.996855331457389,0.4892
"Candidatus.Colwellbacteria",4.58718926300125e-05,7.53004237046902e-05,0.609185053326005,9.03079696705589e-05,1.37864509896686e-05,0.996979103291612,0.9992
"Crenarchaeota",4.57687893411874e-05,3.29583334920266e-05,1.38868639557458,0.000133932018461309,0.000131105226261835,0.997102596931881,0.9888
"Candidatus.Beckwithbacteria",4.51552854468417e-05,6.48732414825065e-05,0.696054095878933,8.86279388231469e-05,3.25516698276711e-05,0.997224435212016,1
"Candidatus.Komeilibacteria",4.50641265449663e-05,6.56204021979396e-05,0.686739566286615,9.57586776014261e-05,3.19248600838519e-05,0.99734602752662,1
"candidate.division.WOR.3",4.47850754479095e-05,5.24923515569634e-05,0.85317335039391,0.000141142464292307,7.22566261882075e-05,0.997466866903767,0.8032
"Candidatus.Vogelbacteria",4.46699852735243e-05,7.20458411997588e-05,0.620021704648704,8.08604097853273e-05,3.86988573535157e-05,0.99758739574387,0.9986
"Candidatus.Kerfeldbacteria",4.43136466821763e-05,6.25513904096465e-05,0.708435837988061,8.71736078845581e-05,3.54563138184136e-05,0.997706963108905,1
"Candidatus.Riflebacteria",4.4076598004334e-05,4.09588094213345e-05,1.07612009789951,3.42270649069831e-05,9.80229170763972e-05,0.997825890867681,0.9342
"Candidatus.Campbellbacteria",4.11806056261392e-05,6.48936980986392e-05,0.634585588935681,7.97858737706066e-05,2.69552672183044e-05,0.997937004641291,1
